               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11555,             0.29546,                   0,              0.0013,           0.0059642,          0.00065858,          0.00013177,             0.10562,             0.22956,                   0,            0.070441,           0.0032843,           0.0032843
                   1,                 nan,                 nan,                   0,             0.59254,             0.49794,              0.5025,             0.15322,            0.076633,              0.1569,                   0,            0.040419,           0.0065958,           0.0065958
                   2,            0.072071,             0.23264,                   0,             0.65959,              0.5393,             0.54952,             0.19693,            0.075391,              0.1921,                   0,            0.010375,           0.0098853,           0.0098853
                   3,            0.062971,             0.21701,                   0,             0.86579,             0.85135,             0.89151,              0.4202,            0.054193,             0.12745,                   0,            0.009901,            0.009901,            0.009901
                   4,             0.05631,             0.20774,                   0,             0.84044,             0.83531,             0.85441,             0.44587,            0.053662,             0.14804,                   0,            0.009901,            0.009901,            0.009901
                   5,            0.052762,             0.20102,                   0,             0.88331,             0.68995,             0.75313,             0.37352,            0.070388,             0.13024,                   0,            0.009868,            0.009868,            0.009868
                   6,            0.050697,             0.19543,                   0,             0.93304,             0.91895,             0.94706,             0.50376,            0.046363,             0.11341,                   0,            0.009835,            0.009835,            0.009835
                   7,            0.049568,             0.19331,                   0,             0.95929,             0.91283,              0.9486,             0.49851,            0.046396,             0.12157,                   0,            0.009802,            0.009802,            0.009802
                   8,            0.048411,             0.19186,                   0,             0.92794,                 0.9,             0.92388,             0.40701,            0.049508,             0.11823,                   0,            0.009769,            0.009769,            0.009769
                   9,            0.047819,             0.18838,                   0,             0.94904,             0.91879,             0.95781,             0.51247,             0.04617,             0.11077,                   0,            0.009736,            0.009736,            0.009736
                  10,            0.046827,             0.18972,                   0,             0.96019,             0.94065,             0.97055,             0.53326,            0.043504,              0.1108,                   0,            0.009703,            0.009703,            0.009703
                  11,            0.046241,             0.18751,                   0,             0.96432,             0.94225,             0.97139,             0.58181,            0.041241,             0.10427,                   0,             0.00967,             0.00967,             0.00967
                  12,            0.045851,             0.18667,                   0,             0.91959,             0.91643,             0.93105,             0.52621,            0.043183,             0.11386,                   0,            0.009637,            0.009637,            0.009637
                  13,            0.045014,             0.18387,                   0,              0.9439,             0.90656,             0.94208,             0.44897,            0.045572,             0.11342,                   0,            0.009604,            0.009604,            0.009604
                  14,            0.045119,             0.18482,                   0,             0.95754,             0.94693,               0.967,             0.57488,            0.041303,             0.10615,                   0,            0.009571,            0.009571,            0.009571
                  15,            0.044466,             0.18247,                   0,             0.97127,               0.946,             0.97127,              0.5921,             0.04101,             0.10123,                   0,            0.009538,            0.009538,            0.009538
                  16,            0.044203,              0.1814,                   0,             0.95958,             0.94433,             0.97012,             0.56869,            0.040463,             0.10566,                   0,            0.009505,            0.009505,            0.009505
                  17,            0.044273,             0.18176,                   0,             0.97466,             0.94173,             0.97375,             0.58267,             0.04151,             0.10285,                   0,            0.009472,            0.009472,            0.009472
                  18,             0.04385,              0.1819,                   0,             0.93929,             0.92736,             0.95316,              0.5752,            0.040642,             0.10786,                   0,            0.009439,            0.009439,            0.009439
                  19,            0.043607,             0.18083,                   0,             0.95425,             0.94525,             0.96932,             0.59861,            0.039605,             0.10296,                   0,            0.009406,            0.009406,            0.009406
                  20,            0.043332,             0.18023,                   0,             0.97888,             0.95275,             0.97839,             0.59172,            0.040065,             0.10147,                   0,            0.009373,            0.009373,            0.009373
                  21,            0.043296,             0.17952,                   0,             0.96309,             0.94567,             0.97318,              0.5956,            0.040246,             0.10246,                   0,             0.00934,             0.00934,             0.00934
                  22,             0.04337,             0.18015,                   0,             0.94998,             0.94401,             0.96009,             0.55256,            0.042489,             0.10935,                   0,            0.009307,            0.009307,            0.009307
                  23,             0.04307,             0.17871,                   0,             0.97894,             0.93835,              0.9736,             0.59527,            0.039265,             0.10302,                   0,            0.009274,            0.009274,            0.009274
                  24,            0.042928,             0.17804,                   0,             0.96413,             0.94543,             0.97107,             0.55158,            0.041502,             0.10897,                   0,            0.009241,            0.009241,            0.009241
                  25,             0.04266,             0.17812,                   0,             0.96736,             0.95213,              0.9752,             0.60512,            0.039334,             0.10165,                   0,            0.009208,            0.009208,            0.009208
                  26,            0.042428,             0.17704,                   0,             0.97387,             0.95747,             0.97839,             0.60806,            0.039181,             0.10047,                   0,            0.009175,            0.009175,            0.009175
